business_type,investment,market_demand,competition,experience,operating_cost,target_market,risk_level
E-commerce,1000000,Medium,High,Medium,131630.34,Small,High Risk
Manufacturing,200000,High,Medium,High,18819.35,Small,Medium Risk
Fashion & Clothing,500000,High,Low,Low,68358.28,Large,Medium Risk
Services,300000,High,Medium,Low,41064.2,Small,High Risk
Retail,2000000,High,Low,Medium,427347.83,Large,Low Risk
Fashion & Clothing,200000,Low,Low,Low,20832.25,Medium,High Risk
E-commerce,2000000,Medium,Medium,Medium,233213.95,Medium,Medium Risk
Technology,100000,Medium,Medium,High,12948.96,Medium,Medium Risk
Technology,1000000,Low,Medium,High,166889.78,Small,High Risk
Education,25000,High,High,High,1425.04,Large,Medium Risk
E-commerce,500000,Medium,Medium,Medium,118628.06,Medium,Medium Risk
Food & Beverage,500000,High,Medium,Low,84023.27,Large,Medium Risk
Services,25000,High,Medium,Medium,2551.18,Medium,Low Risk
Manufacturing,300000,High,High,Medium,58233.93,Large,Medium Risk
Manufacturing,25000,Medium,Low,Medium,3927.77,Small,Medium Risk
Manufacturing,2000000,High,High,Low,465515.38,Small,High Risk
Food & Beverage,2000000,High,High,Low,257092.3,Large,Medium Risk
Manufacturing,100000,Medium,Medium,High,22687.53,Large,Low Risk
Education,500000,Medium,Medium,Medium,97192.92,Large,Medium Risk
Fashion & Clothing,750000,Medium,High,High,117283.36,Medium,High Risk
Technology,25000,Medium,High,High,1857.48,Large,Low Risk
Services,100000,Low,Medium,Medium,9907.05,Large,Medium Risk
Technology,1000000,Medium,Medium,Medium,135788.87,Large,Medium Risk
E-commerce,2000000,Medium,High,Low,231020.87,Small,High Risk
Fashion & Clothing,25000,Medium,High,Medium,6152.18,Small,High Risk
Education,300000,High,High,High,72086.52,Small,Medium Risk
Education,300000,Low,High,High,58878.99,Small,High Risk
Fashion & Clothing,1000000,High,High,High,147018.93,Large,Medium Risk
Manufacturing,100000,High,Medium,Medium,5267.35,Medium,Low Risk
Technology,1500000,High,High,Low,95092.08,Medium,High Risk
Fashion & Clothing,200000,High,Medium,High,28019.14,Small,Medium Risk
Manufacturing,500000,Medium,High,Medium,57116.22,Large,High Risk
Fashion & Clothing,750000,Medium,Medium,Medium,136009.42,Large,Medium Risk
Fashion & Clothing,50000,High,Medium,Low,10544.95,Small,Low Risk
Food & Beverage,300000,Medium,Medium,Medium,60510.11,Large,High Risk
Manufacturing,100000,Medium,High,Low,8899.5,Medium,High Risk
Education,100000,Medium,High,High,15832.93,Medium,Medium Risk
Food & Beverage,2000000,Medium,High,Medium,335401.97,Small,High Risk
Technology,2000000,Medium,Low,Low,378462.46,Large,Medium Risk
Food & Beverage,750000,High,High,Low,141353.84,Large,High Risk
Manufacturing,25000,Medium,High,Medium,2642.29,Large,Medium Risk
Services,750000,Medium,High,High,154203.79,Large,High Risk
Retail,1000000,Low,Medium,Low,225837.15,Large,High Risk
Education,300000,Medium,High,High,40739.1,Medium,Medium Risk
Manufacturing,750000,High,High,High,74851.31,Medium,High Risk
Manufacturing,500000,Low,High,Low,99818.39,Small,High Risk
Services,300000,High,Medium,Low,54260.52,Large,Medium Risk
Technology,500000,Low,High,Medium,55895.6,Large,High Risk
E-commerce,100000,Medium,High,Medium,16619.01,Small,High Risk
Manufacturing,100000,Medium,High,Medium,9577.51,Large,Medium Risk
Food & Beverage,750000,Medium,Medium,Medium,103958.9,Medium,High Risk
Services,500000,High,High,Medium,30334.8,Large,Medium Risk
Technology,50000,Low,High,Medium,3043.91,Large,High Risk
Education,1500000,Medium,Medium,Low,265782.1,Small,High Risk
Technology,50000,High,High,Low,2691.45,Small,Medium Risk
Education,1000000,High,High,Medium,147699.13,Medium,High Risk
Retail,500000,Medium,Low,Medium,34490.84,Large,Medium Risk
Technology,200000,Low,Medium,Low,34273.88,Large,High Risk
Education,1000000,Low,High,Low,210528.06,Large,High Risk
E-commerce,200000,Low,High,Medium,34759.66,Large,High Risk
Education,25000,High,High,Low,4009.39,Medium,Medium Risk
Food & Beverage,750000,Low,Low,Medium,77784.33,Medium,High Risk
Services,100000,High,Low,Low,5174.12,Large,Low Risk
Fashion & Clothing,1000000,Low,Low,High,123119.14,Small,High Risk
Technology,300000,Medium,High,Low,33701.39,Medium,High Risk
Education,25000,Medium,High,Medium,4825.93,Small,Medium Risk
Manufacturing,1500000,Medium,High,High,333660.89,Large,Medium Risk
Education,750000,High,High,High,93220.09,Large,Low Risk
Retail,500000,High,Medium,High,65680.48,Large,Medium Risk
Education,200000,Medium,Medium,High,45595.35,Small,Medium Risk
Retail,2000000,High,Medium,High,472929.1,Small,Medium Risk
Fashion & Clothing,500000,Low,High,Low,110426.08,Large,High Risk
Technology,500000,High,Medium,Low,62454.82,Large,Medium Risk
Food & Beverage,100000,High,Medium,Medium,16464.46,Small,Medium Risk
Retail,300000,High,Low,Low,15039.2,Large,Low Risk
Food & Beverage,50000,Low,Medium,Low,5153.7,Small,High Risk
Food & Beverage,1000000,High,Low,Low,91508.19,Medium,Medium Risk
Education,750000,Low,High,Medium,129788.05,Medium,High Risk
Education,50000,Medium,High,Low,2804.64,Small,Medium Risk
Fashion & Clothing,750000,Medium,Low,Medium,107749.53,Large,Medium Risk
Technology,25000,High,High,High,5230.04,Large,Low Risk
Food & Beverage,1500000,Medium,Medium,High,349489.76,Large,Medium Risk
Fashion & Clothing,2000000,Medium,High,Low,409108.57,Medium,High Risk
Manufacturing,300000,Medium,High,Medium,18969.91,Small,High Risk
Fashion & Clothing,1500000,Medium,Medium,Low,174661.67,Medium,High Risk
Education,1000000,High,Medium,Medium,185699.99,Medium,High Risk
Manufacturing,100000,Medium,Medium,High,11795.4,Small,Low Risk
Services,2000000,High,High,Medium,496043.54,Medium,Medium Risk
Fashion & Clothing,25000,Low,High,Medium,6174.23,Medium,High Risk
Services,500000,Low,Low,Low,84521.28,Large,Medium Risk
Food & Beverage,100000,Low,Medium,Medium,20023.54,Medium,Medium Risk
E-commerce,100000,Medium,Low,High,20684.12,Large,Low Risk
Food & Beverage,50000,High,Medium,High,5450.72,Large,Low Risk
Fashion & Clothing,25000,Medium,High,High,4268.98,Small,Medium Risk
Manufacturing,25000,Low,High,High,1935.45,Large,Medium Risk
Technology,1500000,Low,Low,Medium,345723.91,Large,High Risk
Manufacturing,100000,Medium,High,High,12990.38,Small,Medium Risk
Services,25000,Low,Medium,High,1743.69,Small,Medium Risk
Manufacturing,500000,Low,Low,Medium,98886.67,Large,Medium Risk
Technology,750000,Low,Medium,Low,178247.36,Medium,High Risk
Education,2000000,Medium,Medium,Low,121106.1,Small,High Risk
Education,500000,Low,Medium,Low,82763.18,Medium,High Risk
Technology,500000,High,High,Low,30178.59,Medium,High Risk
Food & Beverage,25000,High,Medium,High,4078.44,Medium,Medium Risk
Technology,25000,Medium,Low,Low,4646.0,Medium,Medium Risk
Retail,750000,Medium,Low,Medium,98662.22,Medium,High Risk
Services,25000,High,High,Low,2445.71,Large,High Risk
E-commerce,100000,Low,Medium,Medium,13064.16,Small,High Risk
Food & Beverage,25000,Medium,High,Medium,3938.91,Small,Medium Risk
Fashion & Clothing,200000,Medium,Low,High,16251.35,Medium,Low Risk
Fashion & Clothing,1500000,Medium,High,Low,214383.95,Large,High Risk
Food & Beverage,1500000,Medium,Low,Low,87915.72,Small,High Risk
E-commerce,750000,High,Medium,High,102195.26,Small,Medium Risk
Education,500000,Medium,High,Medium,76409.54,Small,High Risk
Fashion & Clothing,100000,High,High,Medium,11486.92,Small,Medium Risk
Retail,100000,Medium,High,High,23935.12,Medium,Medium Risk
E-commerce,2000000,Low,Medium,Medium,375218.22,Small,High Risk
E-commerce,1500000,Low,Low,High,200954.61,Large,Medium Risk
Manufacturing,1000000,Medium,High,High,66825.53,Medium,High Risk
Technology,750000,High,Low,Low,87843.49,Medium,Medium Risk
Fashion & Clothing,50000,High,Medium,Low,2893.92,Small,Medium Risk
E-commerce,50000,High,High,High,10316.15,Large,Low Risk
Services,200000,High,Medium,Low,38377.55,Large,Medium Risk
Fashion & Clothing,750000,Low,Medium,Low,51479.42,Small,High Risk
Manufacturing,25000,Low,High,High,1726.8,Medium,Medium Risk
Manufacturing,300000,Low,Low,High,18077.63,Small,Low Risk
Services,200000,Low,Medium,High,40406.44,Small,Medium Risk
Services,1500000,Medium,Medium,Medium,278909.17,Small,High Risk
E-commerce,750000,High,Low,High,89222.64,Large,Medium Risk
Services,1500000,Low,Medium,Low,276715.15,Small,High Risk
Food & Beverage,50000,Low,High,Medium,3320.24,Small,Medium Risk
Services,50000,Low,Medium,Medium,3672.8,Medium,High Risk
Retail,300000,High,Medium,Medium,52163.4,Medium,Medium Risk
Food & Beverage,50000,Medium,Medium,High,4515.28,Small,Low Risk
E-commerce,750000,Low,Medium,Medium,75537.62,Small,High Risk
Retail,25000,High,High,High,4262.35,Large,Medium Risk
Services,100000,High,Medium,Medium,18650.65,Medium,Medium Risk
Technology,200000,Medium,High,Low,37694.17,Small,High Risk
Food & Beverage,300000,High,Low,Low,57083.0,Large,Medium Risk
Retail,50000,Low,Medium,Medium,3763.86,Medium,Medium Risk
Services,200000,Low,Medium,Medium,48612.11,Small,High Risk
Education,300000,Medium,Medium,Medium,19163.65,Medium,Medium Risk
Technology,1000000,High,High,Medium,206953.94,Small,High Risk
Services,1000000,High,High,Medium,239184.93,Large,High Risk
Fashion & Clothing,300000,High,Medium,Medium,15974.61,Medium,Medium Risk
Services,25000,High,Medium,Low,1922.88,Small,Medium Risk
Services,750000,High,High,Low,37504.61,Large,High Risk
E-commerce,25000,Medium,Low,Low,5326.38,Small,Medium Risk
Retail,500000,High,Medium,Medium,123883.55,Large,Medium Risk
Retail,1000000,Low,Medium,Low,85379.39,Large,High Risk
Technology,2000000,Low,High,Medium,228010.93,Small,High Risk
Education,25000,Medium,High,Medium,2826.2,Large,High Risk
Manufacturing,200000,High,High,High,29998.36,Medium,Medium Risk
E-commerce,1500000,Medium,Medium,Medium,329987.8,Large,High Risk
Food & Beverage,100000,Medium,Medium,Medium,6720.64,Large,Low Risk
Fashion & Clothing,750000,High,Medium,Low,44713.85,Medium,High Risk
Technology,200000,Medium,Medium,High,42396.98,Large,Medium Risk
Services,500000,High,Low,High,124656.57,Medium,Low Risk
E-commerce,300000,Medium,High,High,73510.8,Small,High Risk
Technology,500000,Medium,High,Medium,100625.38,Medium,Medium Risk
Retail,750000,High,Medium,Medium,89343.75,Small,Medium Risk
Technology,100000,Low,Low,Low,14986.06,Large,Low Risk
Manufacturing,1000000,High,Low,Medium,173285.64,Medium,Medium Risk
Services,2000000,Low,High,High,359506.15,Medium,High Risk
Retail,750000,Medium,Low,High,82104.23,Small,Medium Risk
Services,50000,Low,Medium,Medium,4649.17,Large,Medium Risk
E-commerce,1000000,Medium,High,Medium,65856.06,Large,High Risk
Fashion & Clothing,1500000,Medium,Medium,Low,120433.66,Large,High Risk
Education,2000000,Medium,Medium,Low,226004.15,Medium,Medium Risk
Services,200000,High,Medium,High,14973.83,Medium,Medium Risk
Fashion & Clothing,500000,Medium,Medium,High,26049.36,Medium,Low Risk
Retail,2000000,High,High,Low,493008.51,Small,High Risk
Food & Beverage,200000,Low,Low,Low,17571.35,Medium,High Risk
